"Município","ibge","latitude","longitude","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2010 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2011 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2012 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2013 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2014 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2015 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2016 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2017 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2018 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2019 (-)","/Educação/Educação Superior Presencial/Concluintes/Gênero/Feminino 2020 (-)"
"Fazenda Vilanova","4308078","-29.5885","-51.8217","...","...","...","...","...","...","...","...","...","...","..."
"Feliz","4308102","-29.4527","-51.30319999999","...","0","0","10","14","5","18","11","34","19","13"
"Flores da Cunha","4308201","-29.02619999999","-51.1875","...","...","...","...","...","...","...","...","...","...","..."
"Floriano Peixoto","4308250","-27.8614","-52.08379999999","...","...","...","...","...","...","...","...","...","...","..."
"Fontoura Xavier","4308300","-28.9816","-52.34449999999","...","...","...","...","...","...","...","...","...","...","..."
"Formigueiro","4308409","-30.00349999999","-53.49589999999","...","...","...","...","...","...","...","...","...","...","..."
"Forquetinha","4308433","-29.37920000000","-52.09170000000","...","...","...","...","...","...","...","...","...","...","..."
"Fortaleza dos Valos","4308458","-28.7986","-53.22489999999","...","...","...","...","...","...","...","...","...","...","..."
"Frederico Westphalen","4308508","-27.35859999999","-53.39580000000","366","331","268","304","346","477","382","441","442","426","352"
"Garibaldi","4308607","-29.259","-51.53520000000","22","12","23","55","57","60","65","58","47","40","28"
"Garruchos","4308656","-28.19440000000","-55.63830000000","...","...","...","...","...","...","...","...","...","...","..."
"Gaurama","4308706","-27.58559999999","-52.09150000000","...","...","...","...","...","...","...","...","...","...","..."
"General Câmara","4308805","-29.90319999999","-51.76120000000","...","...","...","...","...","...","...","...","...","...","..."
"Gentil","4308854","-28.4316","-52.03370000000","...","...","...","...","...","...","...","...","...","...","..."
"Getúlio Vargas","4308904","-27.89110000000","-52.22939999999","94","33","89","80","85","74","85","98","134","128","190"
"Giruá","4309001","-28.02969999999","-54.35170000000","...","...","...","...","...","...","...","...","...","...","..."
"Glorinha","4309050","-29.87979999999","-50.77340000000","...","...","...","...","...","...","...","...","...","...","..."
